Algorithm,Heuristic,CPUTime (milliseconds),Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Level 11 nodes Generated,Level 11 nodes Expanded,Level 11 nodes Evaluated,Level 12 nodes Generated,Level 12 nodes Expanded,Level 12 nodes Evaluated,Level 13 nodes Generated,Level 13 nodes Expanded,Level 13 nodes Evaluated,Level 14 nodes Generated,Level 14 nodes Expanded,Level 14 nodes Evaluated,Level 15 nodes Generated,Level 15 nodes Expanded,Level 15 nodes Evaluated,Level 16 nodes Generated,Level 16 nodes Expanded,Level 16 nodes Evaluated,Level 17 nodes Generated,Level 17 nodes Expanded,Level 17 nodes Evaluated,Level 18 nodes Generated,Level 18 nodes Expanded,Level 18 nodes Evaluated,Level 19 nodes Generated,Level 19 nodes Expanded,Level 19 nodes Evaluated,Level 20 nodes Generated,Level 20 nodes Expanded,Level 20 nodes Evaluated,Level 21 nodes Generated,Level 21 nodes Expanded,Level 21 nodes Evaluated,Level 22 nodes Generated,Level 22 nodes Expanded,Level 22 nodes Evaluated,Level 23 nodes Generated,Level 23 nodes Expanded,Level 23 nodes Evaluated,Level 24 nodes Generated,Level 24 nodes Expanded,Level 24 nodes Evaluated,Level 25 nodes Generated,Level 25 nodes Expanded,Level 25 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A*,Man,535.0,634810752,123456780,25,0,0,0,3,1,4,46,17,47,229,86,230,233,88,234,240,90,241,254,95,255,836,313,837,2136,797,2137,3068,1143,3069,3074,1146,3075,3080,1148,3081,3084,1150,3085,3090,1152,3091,5390,2018,5391,5398,2021,5399,5406,2024,5407,5413,2027,5414,5423,2030,5424,5430,2033,5431,5437,2036,5438,5447,2039,5448,5461,2044,5462,5473,2049,5474,5482,2052,5483,5491,2055,5492,5497,2057,5498
A*,Man-1,681.0,634810752,123456780,25,0,0,0,3,1,4,46,17,47,229,86,230,233,88,234,240,90,241,254,95,255,836,313,837,2136,797,2137,3068,1143,3069,3074,1146,3075,3080,1148,3081,3084,1150,3085,3090,1152,3091,5390,2018,5391,5398,2021,5399,5406,2024,5407,5413,2027,5414,5423,2030,5424,5430,2033,5431,5437,2036,5438,5447,2039,5448,5461,2044,5462,5473,2049,5474,5482,2052,5483,5491,2055,5492,8922,3359,8923
A*,Misplaced,17164.0,634810752,123456780,25,0,0,0,3,1,4,9,3,10,24,9,25,76,28,77,123,46,124,138,52,139,241,88,242,251,92,252,1467,544,1468,2356,872,2357,2361,874,2362,3908,1447,3909,5859,2165,5860,7774,2877,7775,12104,4514,12105,18049,6689,18050,36044,13432,36045,53754,20025,53755,53760,20027,53761,53766,20029,53767,63414,23619,63415,63419,23621,63420,63424,23623,63425,63431,23625,63432,63439,23628,63440,63439,23628,63440
A#,Man,179.0,634810752,123456780,25,0,0,0,3,1,4,46,17,47,229,86,230,233,88,234,240,90,241,254,95,255,836,313,837,2136,797,2137,3068,1143,3069,3074,1146,3075,3080,1148,3081,3084,1150,3085,3090,1152,3091,5390,2018,5391,5398,2021,5399,5406,2024,5407,5413,2027,5414,5423,2030,5424,5430,2033,5431,5437,2036,5438,5447,2039,5448,5461,2044,5462,5473,2049,5474,5482,2052,5483,5491,2054,5491,5491,2054,5491
A#,Man-1,148.0,634810752,123456780,25,0,0,0,3,1,4,46,17,47,229,86,230,233,88,234,240,90,241,254,95,255,836,313,837,2136,797,2137,3068,1143,3069,3074,1146,3075,3080,1148,3081,3084,1150,3085,3090,1152,3091,5390,2018,5391,5398,2021,5399,5406,2024,5407,5413,2027,5414,5423,2030,5424,5430,2033,5431,5437,2036,5438,5447,2039,5448,5461,2044,5462,5473,2049,5474,5482,2052,5483,8922,3358,8922,8922,3358,8922
A#,Misplaced,10151.0,634810752,123456780,25,0,0,0,3,1,4,9,3,10,24,9,25,76,28,77,123,46,124,138,52,139,241,88,242,251,92,252,1467,544,1468,2356,872,2357,2361,874,2362,3908,1447,3909,5859,2165,5860,7774,2877,7775,12104,4514,12105,18049,6689,18050,36044,13432,36045,53754,20025,53755,53760,20027,53761,53766,20029,53767,63414,23619,63415,63419,23621,63420,63424,23623,63425,63431,23625,63432,63439,23627,63439,63439,23627,63439
A*,Man,413.0,634820715,123456780,25,0,0,0,3,1,4,41,15,42,208,78,209,214,80,215,220,82,221,227,84,228,237,88,238,919,345,920,928,348,929,936,351,937,945,355,946,954,358,955,962,361,963,2319,865,2320,2324,867,2325,3334,1254,3335,5401,2021,5402,5407,2024,5408,5414,2027,5415,5422,2030,5423,5431,2033,5432,5439,2036,5440,5446,2039,5447,5455,2042,5456,5462,2045,5463,5467,2047,5468
A*,Man-1,796.0,634820715,123456780,25,0,0,0,3,1,4,41,15,42,208,78,209,214,80,215,220,82,221,227,84,228,237,88,238,919,345,920,928,348,929,936,351,937,945,355,946,954,358,955,962,361,963,2319,865,2320,2324,867,2325,3334,1254,3335,5401,2021,5402,5407,2024,5408,5414,2027,5415,5422,2030,5423,5431,2033,5432,5439,2036,5440,5446,2039,5447,5455,2042,5456,5462,2045,5463,8905,3338,8906
A*,Misplaced,26660.0,634820715,123456780,25,0,0,0,3,1,4,9,3,10,39,14,40,65,24,66,70,26,71,134,49,135,244,88,245,589,220,590,594,222,595,600,224,601,605,226,606,1265,469,1266,1627,605,1628,1980,731,1981,5003,1854,5004,10826,4034,10827,26366,9840,26367,42833,15945,42834,66262,24709,66263,69400,25919,69401,69406,25921,69407,69410,25923,69411,69415,25925,69416,69422,25927,69423,69429,25930,69430,69429,25930,69430
A#,Man,55.0,634820715,123456780,25,0,0,0,3,1,4,41,15,42,208,78,209,214,80,215,220,82,221,227,84,228,237,88,238,919,345,920,928,348,929,936,351,937,945,355,946,954,358,955,962,361,963,2319,865,2320,2324,867,2325,3334,1254,3335,5401,2021,5402,5407,2024,5408,5414,2027,5415,5422,2030,5423,5431,2033,5432,5439,2036,5440,5446,2039,5447,5455,2042,5456,5462,2044,5462,5462,2044,5462
