Algorithm,Heuristic,CPUTime,Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A*,Man,4985.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,14,5,15,21,7,22,26,9,27,31,11,32,36,13,37,42,16,43,51,19,52,57,21,58
A*,Man-1,3140.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,14,5,15,21,7,22,26,9,27,31,11,32,36,13,37,42,16,43,51,19,52,57,21,58
A*,Misplaced,3662.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,11,4,12,22,8,23,69,25,70,74,27,75,81,29,82,86,31,87,88,32,89,91,33,92,91,33,92
A#,Man,993.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,14,5,15,21,7,22,26,9,27,31,11,32,36,13,37,42,16,43,51,18,51,51,18,51
A#,Man-1,762.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,14,5,15,21,7,22,26,9,27,31,11,32,36,13,37,42,16,43,57,20,57,57,20,57
A#,Misplaced,1105.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,11,4,12,22,8,23,69,25,70,74,27,75,81,29,82,86,31,87,88,32,89,91,32,91,91,32,91
A*,Man,1289.0microseconds,436201758,123456780,10,0,0,0,4,1,5,10,3,11,14,5,15,20,7,21,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,16,47,46,16,47
A*,Man-1,1023.0microseconds,436201758,123456780,10,0,0,0,4,1,5,10,3,11,14,5,15,20,7,21,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,16,47,46,16,47
A*,Misplaced,2345.0microseconds,436201758,123456780,10,0,0,0,4,1,5,18,6,19,29,11,30,35,13,36,49,19,50,104,39,105,112,42,113,120,45,121,124,46,125,127,47,128,127,47,128
A#,Man,1032.0microseconds,436201758,123456780,10,0,0,0,4,1,5,10,3,11,14,5,15,20,7,21,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,15,46,46,15,46
A#,Man-1,476.0microseconds,436201758,123456780,10,0,0,0,4,1,5,10,3,11,14,5,15,20,7,21,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,15,46,46,15,46
A#,Misplaced,871.0microseconds,436201758,123456780,10,0,0,0,4,1,5,18,6,19,29,11,30,35,13,36,49,19,50,104,39,105,112,42,113,120,45,121,124,46,125,127,46,127,127,46,127
A*,Man,716.0microseconds,280153476,123456780,10,0,0,0,2,1,3,5,2,6,11,4,12,20,7,21,24,9,25,30,11,31,34,13,35,40,15,41,44,16,45,47,17,48,47,17,48
