Algorithm,Heuristic,CPUTime,Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A*,Man,4710.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,14,5,15,21,7,22,26,9,27,31,11,32,36,13,37,42,16,43,51,19,52,57,21,58
A#,Man,1224.0microseconds,542713086,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,14,5,15,21,7,22,26,9,27,31,11,32,36,13,37,42,16,43,51,18,51,51,18,51
A*,Man,2174.0microseconds,436201758,123456780,10,0,0,0,4,1,5,10,3,11,14,5,15,20,7,21,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,16,47,46,16,47
A#,Man,854.0microseconds,436201758,123456780,10,0,0,0,4,1,5,10,3,11,14,5,15,20,7,21,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,15,46,46,15,46
A*,Man,1693.0microseconds,280153476,123456780,10,0,0,0,2,1,3,5,2,6,11,4,12,20,7,21,24,9,25,30,11,31,34,13,35,40,15,41,44,16,45,47,17,48,47,17,48
A#,Man,790.0microseconds,280153476,123456780,10,0,0,0,2,1,3,5,2,6,11,4,12,20,7,21,24,9,25,30,11,31,34,13,35,40,15,41,44,16,45,47,16,47,47,16,47
A*,Man,2384.0microseconds,152746038,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,15,5,16,19,7,20,25,9,26,34,12,35,39,14,40,46,17,47,51,19,52,51,19,52
A#,Man,664.0microseconds,152746038,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,15,5,16,19,7,20,25,9,26,34,12,35,39,14,40,46,17,47,51,18,51,51,18,51
A*,Man,793.0microseconds,542183076,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,26,9,27,31,11,32,33,12,34,36,13,37,36,13,37
A#,Man,629.0microseconds,542183076,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,26,9,27,31,11,32,33,12,34,36,12,36,36,12,36
A*,Man,1641.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,14,5,15,21,7,22,26,9,27,40,14,41,63,24,64,69,26,70,73,27,74,76,28,77,76,28,77
A#,Man,2269.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,14,5,15,21,7,22,26,9,27,40,14,41,63,24,64,69,26,70,73,27,74,76,27,76,76,27,76
